Title,Keyword Used,Company,Area,Posted On,Number of Applicants,Seniority level,Employment type,Job function,Industries
Data Analyst,data analyst,Federal Express Corporation,"Plano, TX",19 hours ago,,Entry level,Full-time,Information Technology,Freight and Package Transportation
Data Analyst,data analyst,Inovalon,"Bowie, MD",16 hours ago,,Entry level,Full-time,Information Technology,Software Development
Senior Data Analyst,data analyst,Aditi Consulting,United States,14 hours ago,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting and Insurance
Clinical Data Analyst,data analyst,TALENT Software Services,"New Hyde Park, NY",18 hours ago,,Mid-Senior level,Full-time,Analyst and Science,Hospitals and Health Care
Strategic Data Analyst,data analyst,Sanford Barrows Group,"Miami, FL",20 hours ago,,Mid-Senior level,Full-time,Analyst and Strategy/Planning,Banking and Financial Services
Retail Banking Data Analyst,data analyst,Kearny Bank,"Fairfield, NJ",12 hours ago,,Entry level,Full-time,Information Technology,Banking
Data Quality Analyst I,data analyst,Tatari,"San Francisco, CA",4 hours ago,,Entry level,Full-time,Information Technology,Advertising Services
Data Analyst,data analyst,Marathon TS,"Sterling, VA",20 hours ago,,Mid-Senior level,Full-time,Information Technology,IT Services and IT Consulting
Data Analyst,data analyst,NYC Department of Health and Mental Hygiene,"Queens, NY",2 hours ago,,Entry level,Full-time,Information Technology,Hospitals and Health Care
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"Portland, OR",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Data Analyst (Junior Data Scientist),data analyst,Swooped,United States,22 hours ago,,Entry level,Full-time,Analyst and Consulting,"Computer and Network Security and Technology, Information and Media"
Data Analyst III (Remote),data analyst,Availity,United States,22 hours ago,,Mid-Senior level,Full-time,Engineering,IT Services and IT Consulting
Data Analyst,data analyst,Guidehouse,"Baltimore, MD",16 hours ago,59 applicants,Associate,Full-time,Information Technology,Business Consulting and Services
Data Analyst - Insurance - REMOTE,data analyst,WAHVE LLC,"Tampa, FL",14 hours ago,,Mid-Senior level,Full-time,Information Technology,Staffing and Recruiting
Data Operations Analyst,data analyst,Curinos,"Chicago, IL",9 hours ago,43 applicants,Associate,Full-time,Management and Manufacturing,Financial Services
"Data Engineer, Analytics",data analyst,Meta,"New York, NY",5 hours ago,,Not Applicable,Full-time,Information Technology,"Technology, Information and Internet"
